Time,HostName,AirQualityIndex,Humidity,Temperature,Pressure,VOCEstimate,GasSensorResistance,CO2Estimate
1.65E+12,RSE-12-C,191.68567,27.428812,23.898895,999.9025,1.7424293,755033.56,1075.8744
1.65E+12,RSE-12-C,194.09686,27.379244,23.909042,999.8742,1.7726207,752508.4,1087.2386
1.65E+12,RSE-12-C,194.04117,27.402714,23.909042,999.8934,1.7703228,755879,1086.3807
1.65E+12,RSE-12-C,194.65152,27.378717,23.91412,999.87744,1.776853,755456.06,1088.8163
1.65E+12,RSE-12-C,194.80594,27.351725,23.919191,999.96466,1.7772543,754611.5,1088.9658
1.65E+12,RSE-12-C,195.72716,27.328285,23.922268,999.9778,1.7879344,755033.56,1092.9292
1.65E+12,RSE-12-C,199.14034,27.301195,23.926805,999.99493,1.8324032,752508.4,1109.1813
1.65E+12,RSE-12-C,199.27884,27.284622,23.93188,999.95807,1.8326331,751670.4,1109.2643
1.65E+12,RSE-12-C,200.95897,27.27679,23.934418,999.9816,1.8540266,750416.94,1116.942
1.65E+12,RSE-12-C,201.27763,27.232111,23.947104,1000.02924,1.8568366,750834.25,1117.9438
1.65E+12,RSE-12-C,201.4331,27.233147,23.952179,1000.03784,1.8573649,750834.25,1118.1321
1.65E+12,RSE-12-C,202.45976,27.240482,23.947104,1000.0449,1.8700589,748337,1122.638
1.65E+12,RSE-12-C,203.77606,27.169048,23.954718,1000.06134,1.8868778,750000,1128.5609
1.65E+12,RSE-12-C,203.32663,27.210897,23.952179,1000.12524,1.8789054,751670.4,1125.76
1.65E+12,RSE-12-C,206.52882,27.157795,23.952217,1000.1549,1.9222884,749583.6,1140.8607
1.65E+12,RSE-12-C,208.41603,27.14724,23.957256,1000.2596,1.9475292,746761.44,1149.4905
1.65E+12,RSE-12-C,209.04645,27.130264,23.962328,1000.3119,1.9547781,744288.75,1151.9482
1.65E+12,RSE-12-C,209.99763,27.116793,23.969942,1000.3142,1.966706,747589.4,1155.9725
1.65E+12,RSE-12-C,211.29517,27.108082,23.964865,1000.28467,1.9837626,745111.2,1161.685
1.65E+12,RSE-12-C,214.65234,27.077759,23.977554,1000.3725,2.0316396,742649.4,1177.4612
1.65E+12,RSE-12-C,217.2259,27.061775,23.985168,1000.38354,2.06859,740203.7,1189.3846
1.65E+12,RSE-12-C,219.84955,27.03503,23.997854,1000.3805,2.1069343,737774.2,1201.5349
1.65E+12,RSE-12-C,220.39088,27.041033,23.990356,1000.34314,2.1132205,738582.25,1203.5056
1.65E+12,RSE-12-C,219.37334,27.027617,23.995317,1000.3325,2.0952957,741017.2,1197.8704
1.65E+12,RSE-12-C,224.44403,26.97702,24.005465,1000.35474,2.1728408,736163.3,1221.9109
1.65E+12,RSE-12-C,224.15541,26.989967,24.000391,1000.383,2.1659791,737774.2,1219.8186
1.65E+12,RSE-12-C,227.86708,26.972208,24.008005,1000.2823,2.2236245,734559.44,1237.1943
1.65E+12,RSE-12-C,225.02264,26.933193,24.013079,1000.2926,2.175315,737774.2,1222.6638
1.65E+12,RSE-12-C,225.41959,26.930893,24.018152,1000.30115,2.1793962,737774.2,1223.9037
1.65E+12,RSE-12-C,226.48055,26.919651,24.020693,1000.32635,2.1941442,736967.94,1228.3654
1.65E+12,RSE-12-C,227.40611,26.905514,24.02327,1000.2801,2.2067752,737774.2,1232.1626
1.65E+12,RSE-12-C,226.9791,26.899921,24.018152,1000.25397,2.197562,737774.2,1229.3949
